STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",6/13/2019,5.82,0.6,0,0,,65,55
USW00094728,"NY CITY CENTRAL PARK, NY US",6/14/2019,6.04,0,0,0,,73,58
USW00094728,"NY CITY CENTRAL PARK, NY US",6/15/2019,4.47,0,0,0,,81,60
USW00094728,"NY CITY CENTRAL PARK, NY US",6/16/2019,5.14,0.04,0,0,,80,65
USW00094728,"NY CITY CENTRAL PARK, NY US",6/17/2019,1.34,0,0,0,,76,69
USW00094728,"NY CITY CENTRAL PARK, NY US",6/18/2019,1.79,0.79,0,0,,73,67
USW00094728,"NY CITY CENTRAL PARK, NY US",6/19/2019,2.91,0.11,0,0,,71,66
USW00094728,"NY CITY CENTRAL PARK, NY US",6/20/2019,3.13,0.42,0,0,,78,65
USW00094728,"NY CITY CENTRAL PARK, NY US",6/21/2019,5.14,0.53,0,0,,77,65
USW00094728,"NY CITY CENTRAL PARK, NY US",6/22/2019,5.59,0,0,0,,79,61
USW00094728,"NY CITY CENTRAL PARK, NY US",6/23/2019,4.7,0,0,0,,83,64
USW00094728,"NY CITY CENTRAL PARK, NY US",6/24/2019,1.79,0,0,0,,84,67
USW00094728,"NY CITY CENTRAL PARK, NY US",6/25/2019,2.01,0.86,0,0,,84,72
USW00094728,"NY CITY CENTRAL PARK, NY US",6/26/2019,3.13,0,0,0,,87,72
USW00094728,"NY CITY CENTRAL PARK, NY US",6/27/2019,2.68,0,0,0,,89,71
USW00094728,"NY CITY CENTRAL PARK, NY US",6/28/2019,2.46,0,0,0,,89,73
USW00094728,"NY CITY CENTRAL PARK, NY US",6/29/2019,4.7,0.08,0,0,,91,72
USW00094728,"NY CITY CENTRAL PARK, NY US",6/30/2019,5.14,0.06,0,0,,83,69
USW00094728,"NY CITY CENTRAL PARK, NY US",7/1/2019,4.47,0,0,0,,85,65
USW00094728,"NY CITY CENTRAL PARK, NY US",7/2/2019,2.46,0.02,0,0,,85,71
USW00094728,"NY CITY CENTRAL PARK, NY US",7/3/2019,1.79,0,0,0,,87,75
USW00094728,"NY CITY CENTRAL PARK, NY US",7/4/2019,2.68,0,0,0,,90,74
USW00094728,"NY CITY CENTRAL PARK, NY US",7/5/2019,2.91,0,0,0,,86,72
USW00094728,"NY CITY CENTRAL PARK, NY US",7/6/2019,3.36,0,0,0,,90,76
USW00094728,"NY CITY CENTRAL PARK, NY US",7/7/2019,4.92,0,0,0,,86,72
USW00094728,"NY CITY CENTRAL PARK, NY US",7/8/2019,2.68,0.04,0,0,,78,68
USW00094728,"NY CITY CENTRAL PARK, NY US",7/9/2019,2.68,0,0,0,,87,69
USW00094728,"NY CITY CENTRAL PARK, NY US",7/10/2019,2.46,0,0,0,,88,74
USW00094728,"NY CITY CENTRAL PARK, NY US",7/11/2019,4.47,0.79,0,0,,87,73
USW00094728,"NY CITY CENTRAL PARK, NY US",7/12/2019,5.14,0,0,0,,87,72
USW00094728,"NY CITY CENTRAL PARK, NY US",7/13/2019,3.8,0,0,0,,85,70
USW00094728,"NY CITY CENTRAL PARK, NY US",7/14/2019,4.92,0,0,0,,89,76
USW00094728,"NY CITY CENTRAL PARK, NY US",7/15/2019,2.91,0,0,0,,85,68
USW00094728,"NY CITY CENTRAL PARK, NY US",7/16/2019,2.91,0,0,0,,91,72
USW00094728,"NY CITY CENTRAL PARK, NY US",7/17/2019,3.58,1.82,0,0,,93,73
USW00094728,"NY CITY CENTRAL PARK, NY US",7/18/2019,4.92,0.51,0,0,,79,71
USW00094728,"NY CITY CENTRAL PARK, NY US",7/19/2019,3.58,0,0,0,,91,71
USW00094728,"NY CITY CENTRAL PARK, NY US",7/20/2019,4.25,0,0,0,,95,82
USW00094728,"NY CITY CENTRAL PARK, NY US",7/21/2019,4.47,0,0,0,,95,80
USW00094728,"NY CITY CENTRAL PARK, NY US",7/22/2019,2.68,1.66,0,0,,90,72
USW00094728,"NY CITY CENTRAL PARK, NY US",7/23/2019,4.03,0.53,0,0,,74,67
USW00094728,"NY CITY CENTRAL PARK, NY US",7/24/2019,2.91,0.02,0,0,,83,67
USW00094728,"NY CITY CENTRAL PARK, NY US",7/25/2019,1.79,0,0,0,,84,70
USW00094728,"NY CITY CENTRAL PARK, NY US",7/26/2019,1.57,0,0,0,,88,69
USW00094728,"NY CITY CENTRAL PARK, NY US",7/27/2019,2.91,0,0,0,,85,72
USW00094728,"NY CITY CENTRAL PARK, NY US",7/28/2019,5.37,0.01,0,0,,88,71
USW00094728,"NY CITY CENTRAL PARK, NY US",7/29/2019,4.47,0,0,0,,90,73
USW00094728,"NY CITY CENTRAL PARK, NY US",7/30/2019,3.36,0.01,0,0,,92,78
USW00094728,"NY CITY CENTRAL PARK, NY US",7/31/2019,2.91,0.36,0,0,,87,70
USW00094728,"NY CITY CENTRAL PARK, NY US",8/1/2019,2.24,0,0,0,,87,70
USW00094728,"NY CITY CENTRAL PARK, NY US",8/2/2019,3.58,0,0,0,,84,73
USW00094728,"NY CITY CENTRAL PARK, NY US",8/3/2019,3.58,0.21,0,0,,86,68
USW00094728,"NY CITY CENTRAL PARK, NY US",8/4/2019,2.68,0,0,0,,87,69
USW00094728,"NY CITY CENTRAL PARK, NY US",8/5/2019,4.47,0,0,0,,82,70
USW00094728,"NY CITY CENTRAL PARK, NY US",8/6/2019,3.13,0.04,0,0,,79,71
USW00094728,"NY CITY CENTRAL PARK, NY US",8/7/2019,2.68,1.18,0,0,,84,69
